lang,item_id,en_target_word,en_target_pos,l1_source_word,l1_context,target_score,feature_group,shap_value,base_value,prediction
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,CEFR Level,0.05825717,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,L1 Calque,-0.24247947,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,L1 Similarity,0.0,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,Lexical Ambiguity,-0.018785551,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,Prod. Frequency,-0.096502356,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,Rec. Frequency,-0.014475353,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,Spelling Difficulty,0.1329546,-0.023387494,-0.4607582688331604
cn,6769,universal,adjective,宇宙的，世界的，普世的,他认为自由是一种普世价值。,0.616970061,Word Length,-0.25633994,-0.023387494,-0.4607582688331604
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,CEFR Level,-0.10894406,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,L1 Calque,0.0004015272,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,L1 Similarity,0.0,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,Lexical Ambiguity,0.16474013,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,Prod. Frequency,0.8052335,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,Rec. Frequency,-0.11346608,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,Spelling Difficulty,-0.2350457,-0.023387494,0.17375962436199188
cn,6770,eventually,adverb,终于，最终,他最终还是赶上了母亲的生日宴会。,0.370946611,Word Length,-0.31577227,-0.023387494,0.17375962436199188
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,CEFR Level,-0.2807237,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,L1 Calque,0.20729756,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,L1 Similarity,0.0,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,Lexical Ambiguity,-0.17994687,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,Prod. Frequency,-0.8640091,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,Rec. Frequency,-0.19766384,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,Spelling Difficulty,-0.012618562,-0.023387494,-0.9792389273643494
cn,6771,herd,noun,兽群，牧群,他看着鹿群缓缓穿过草地。,-0.528004131,Word Length,0.37181315,-0.023387494,-0.9792389273643494
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,CEFR Level,-0.16197653,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,L1 Calque,0.09127974,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,L1 Similarity,0.0,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,Lexical Ambiguity,0.33563408,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,Prod. Frequency,0.45398045,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,Rec. Frequency,0.004182216,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,Spelling Difficulty,0.31271884,-0.023387494,1.429430603981018
cn,6772,harm,verb,伤害，损害,这类项目会损害环境。,-0.18491809,Word Length,0.41699988,-0.023387494,1.429430603981018
cn,6773,stake,noun,股份，股本,她在这家软件公司占有30%股份。,-4.196897628,CEFR Level,-0.33587605,-0.023387494,-2.892212390899658
cn,6773,stake,noun,股份，股本,她在这家软件公司占有30%股份。,-4.196897628,L1 Calque,-0.2942024,-0.023387494,-2.892212390899658
cn,6773,stake,noun,股份，股本,她在这家软件公司占有30%股份。,-4.196897628,L1 Similarity,0.0,-0.023387494,-2.892212390899658
cn,6773,stake,noun,股份，股本,她在这家软件公司占有30%股份。,-4.196897628,Lexical Ambiguity,-1.6261678,-0.023387494,-2.892212390899658
cn,6773,stake,noun,股份，股本,她在这家软件公司占有30%股份。,-4.196897628,Prod. Frequency,-0.58128786,-0.023387494,-2.892212390899658
