lang,feature_group,mean_abs_shap,mean_shap,n_items
cn,Prod. Frequency,0.6626244,0.014012457,748
cn,CEFR Level,0.27907068,0.016067771,748
cn,Lexical Ambiguity,0.26405907,0.015486264,748
cn,Word Length,0.2473449,-0.020598518,748
cn,Spelling Difficulty,0.2020528,0.0054114657,748
cn,L1 Calque,0.15261032,-0.00068331894,748
cn,Rec. Frequency,0.09682365,0.033608954,748
cn,L1 Similarity,0.0,0.0,748
de,Spelling Difficulty,0.37251234,0.0014055754,748
de,Prod. Frequency,0.36881402,0.030676225,748
de,L1 Similarity,0.3666695,-0.04058716,748
de,Lexical Ambiguity,0.33497295,0.06849508,748
de,CEFR Level,0.3287254,0.028375143,748
de,Word Length,0.2447533,-0.020937474,748
de,L1 Calque,0.1209481,0.00034585467,748
de,Rec. Frequency,0.059122268,0.009011051,748
es,Prod. Frequency,0.40058377,0.013879844,748
es,Spelling Difficulty,0.37139735,-0.017827839,748
es,CEFR Level,0.34568834,0.035822928,748
es,Lexical Ambiguity,0.34501788,0.051149607,748
es,L1 Similarity,0.2973154,-0.052523334,748
es,Word Length,0.29369152,-0.013498851,748
es,L1 Calque,0.14281519,0.0069249207,748
es,Rec. Frequency,0.05721109,0.0088647595,748
