,RMSE,RMSE,RMSE,RMSE,PCC,PCC,PCC,PCC
,Chinese,German,Spanish,Mean,Chinese,German,Spanish,Mean
row_label,,,,,,,,
Ours (mmBERT-b),0.920828324940435,0.9841481569524432,1.063378691554409,0.989451724482429,0.8373091947629578,0.8371387349407594,0.8255057154864726,0.8333178817300633
- single language,0.9156744852641278,1.0437751426332986,1.069702038560162,1.0097172221525295,0.8393957820539383,0.8158492531925168,0.8239151597784833,0.8263867316749794
- out-of-language,1.1148261312077896,1.1017479653120574,1.192806976272572,1.136460357597473,0.7585991787185528,0.7955242612002977,0.7897909742776776,0.781304804732176
- short prompt,0.928710722148383,1.012219907502186,1.0657621570759748,1.0022309289088478,0.8338218356226659,0.8266139884762761,0.8248787771966409,0.828438200431861
- standard loss,1.00250136300289,1.099170300078846,1.1661480255298644,1.0892732295372,0.806868758262119,0.7935089301365824,0.7875476643629633,0.7959751175872216
- std.\ loss \& inference,1.0637492589644841,1.1435444512182038,1.1922728661141244,1.133188858765604,0.7788954704624965,0.7720744613753532,0.775882319000152,0.7756174169460005
Regression (XLMR-b),1.2216189139930158,1.2755281890571897,1.3727003914853835,1.2899491648451964,0.7099072904857228,0.7294774690689663,0.6931368111425088,0.7108405235657326
Regression (XLMR-l),1.0481656461929854,1.144375968247389,1.1923833753716029,1.1283083299373258,0.8131699657801692,0.8226146944920826,0.8011025208496021,0.812295727040618
Reg.\ (mmBERT-b),0.9998066933147,1.105413668604777,1.1532580772950927,1.08615947973819,0.8115826737532784,0.7979751216090686,0.7971082519662178,0.8022220157761882
%- single language,0.9820823617548623,1.1238706907820117,1.1830449020613472,1.0963326515327403,0.8168236260069999,0.789631213483544,0.7843511831485072,0.7969353408796837
