,RMSE,RMSE,RMSE,RMSE,PCC,PCC,PCC,PCC
,Chinese,German,Spanish,Mean,Chinese,German,Spanish,Mean
row_label,,,,,,,,
GLM-4-32B,0.6781366250648215,0.7688028639558434,0.8050122054415627,0.7506505648207424,0.9177481301781333,0.9073357118536326,0.9055613706710043,0.9102150709009234
Qwen2.5-32B,0.6783798252384611,0.7772187977066813,0.799395357726747,0.751664660223963,0.917142798748496,0.9024270430221941,0.9074887606603667,0.9090195341436855
Ministral-3-14B,0.6805571775321173,0.7806893329406447,0.7987065966804445,0.7533177023844022,0.9149529712431864,0.9020695665919578,0.9065379042803691,0.907853480705171
Qwen2.5-14B,0.7011062572712968,0.800527766549023,0.8320133818601,0.77788246856014,0.908727827616436,0.8953665645658021,0.8972746333894794,0.9004563418572392
GLM-4-9B,0.7439597995249279,0.8581912462427731,0.9300997815776906,0.8440836091151306,0.8997337635250505,0.8798697640782275,0.8740704667660674,0.8845579981231152
Ministral-3-8B,0.7233478257311319,0.8094863520917311,0.8348904186290463,0.7892415321506364,0.904026534809781,0.894533508219721,0.898169646855997,0.8989098966284996
Qwen2.5-7B,0.7221441237506839,0.8421186078883722,0.8824476129764685,0.8155701148718416,0.9038205992687547,0.883968641638469,0.8836579282521897,0.8904823897198044
Qwen2.5-1.5B,0.7996860727481726,0.9548038590247082,0.9980273668553187,0.9175057662093998,0.8831396898131861,0.8476364306328528,0.8484069611699414,0.8597276938719934
Qwen2.5-0.5B,0.8510414204979145,1.021137896984396,1.0780132684154795,0.9833975286325968,0.8629771934238815,0.8236973961747833,0.819958881865129,0.8355444904879312
XLMR-l (550B),0.9244302664335524,1.0013234910527293,1.0945707171005445,1.0067748248622754,0.8349313927009128,0.8316093413260821,0.8155651855502724,0.8273686398590891
mmBERT-b (307M),0.920828324940435,0.9841481569524432,1.063378691554409,0.989451724482429,0.8373091947629578,0.8371387349407594,0.8255057154864726,0.8333178817300633
XLMR-b (270B),1.0423442852866034,1.1358163005645492,1.220303353800421,1.1328213132171914,0.7864398080171444,0.7753032584000141,0.7614550600432833,0.7743993754868139
